Temp,Cpkg,Cp,Uncer,Ref,Reference,Atmosphere,Type,Molar mass,Lowest Temp,Highest Temp
150,,20.04554,0.6,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
160,,20.55599,0.62,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
170,,20.99531,0.63,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
180,,21.37187,0.64,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
190,,21.76935,0.65,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
200,,22.13336,0.66,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
210,,22.46808,0.67,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
220,,22.78606,0.68,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
230,,23.06221,0.69,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
240,,23.29233,0.7,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
250,,23.48898,0.7,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
260,,23.6647,0.71,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
270,,23.81533,0.71,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
280,,23.94503,0.72,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
290,,24.04545,0.72,60Man1,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
80,,12.49761,0.37,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
90,,14.00385,0.42,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
100,,15.32181,0.46,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
110,,16.5268,0.5,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
120,,17.66066,0.53,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
130,,18.61043,0.56,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
150,,20.04554,0.6,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
160,,20.55599,0.62,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
170,,20.99531,0.63,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
180,,21.37187,0.64,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
190,,21.76935,0.65,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
200,,22.13336,0.66,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
210,,22.46808,0.67,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
220,,22.78606,0.68,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
230,,23.06221,0.69,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
240,,23.29233,0.7,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
250,,23.48898,0.7,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
260,,23.6647,0.71,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
270,,23.81533,0.71,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
280,,23.94503,0.72,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
290,,24.04545,0.72,60Man2,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
80,,12.49761,0.37,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
90,,14.00385,0.42,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
100,,15.32181,0.46,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
110,,16.5268,0.5,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
120,,17.66066,0.53,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
130,,18.61043,0.56,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
150,,20.04554,0.6,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
160,,20.55599,0.62,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
170,,20.99531,0.63,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
180,,21.37187,0.64,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
190,,21.76935,0.65,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
200,,22.13336,0.66,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
210,,22.46808,0.67,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
220,,22.78606,0.68,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
230,,23.06221,0.69,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
240,,23.29233,0.7,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
250,,23.48898,0.7,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
260,,23.6647,0.71,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
270,,23.81533,0.71,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
280,,23.94503,0.72,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
290,,24.04545,0.72,60Man3,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
190,,22.25888,0.67,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
200,,22.65636,0.68,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
210,,22.99108,0.69,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
220,,23.29651,0.7,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
230,,23.55592,0.71,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
240,,23.78604,0.71,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
250,,23.99524,0.72,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
260,,24.20444,0.73,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
280,,24.56845,0.74,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
300,,24.85296,0.75,60Man4,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
190,,22.3049,0.67,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
200,,22.66891,0.68,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
210,,22.95761,0.69,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
220,,23.2212,0.7,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
230,,23.47642,0.7,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
240,,23.71073,0.71,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
250,,23.9283,0.72,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
260,,24.12494,0.72,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
280,,24.48895,0.73,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
300,,24.83622,0.75,60Man5,"Mannchen, V. W.[Von Walter]; Bornkessel, K.[Kurt] (1960) Zeitschrift fur Metallkunde, pp 482-485",vacuum,Heat capacity at constant pressure Cp,,,
4.86,,0.01046,0.00031,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-750",,Heat capacity at constant pressure Cp,,,
5.28,,0.011297,0.00034,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-751",,Heat capacity at constant pressure Cp,,,
5.65,,0.013389,0.0004,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-752",,Heat capacity at constant pressure Cp,,,
6.05,,0.015481,0.00046,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-753",,Heat capacity at constant pressure Cp,,,
6.37,,0.017154,0.00051,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-754",,Heat capacity at constant pressure Cp,,,
6.85,,0.019665,0.00059,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-755",,Heat capacity at constant pressure Cp,,,
7.28,,0.022594,0.00068,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-756",,Heat capacity at constant pressure Cp,,,
7.68,,0.025104,0.00075,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-757",,Heat capacity at constant pressure Cp,,,
8.1,,0.028451,0.00085,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-758",,Heat capacity at constant pressure Cp,,,
8.47,,0.03138,0.00094,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-759",,Heat capacity at constant pressure Cp,,,
8.9,,0.035564,0.0011,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-760",,Heat capacity at constant pressure Cp,,,
9.32,,0.038911,0.0012,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-761",,Heat capacity at constant pressure Cp,,,
9.72,,0.043932,0.0013,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-762",,Heat capacity at constant pressure Cp,,,
10.09,,0.046442,0.0014,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-763",,Heat capacity at constant pressure Cp,,,
10.41,,0.0523,0.0016,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-764",,Heat capacity at constant pressure Cp,,,
10.93,,0.06025,0.0018,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-765",,Heat capacity at constant pressure Cp,,,
11.35,,0.065689,0.002,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-766",,Heat capacity at constant pressure Cp,,,
11.74,,0.072383,0.0022,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-767",,Heat capacity at constant pressure Cp,,,
12.13,,0.078241,0.0023,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-768",,Heat capacity at constant pressure Cp,,,
12.55,,0.08619,0.0026,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-769",,Heat capacity at constant pressure Cp,,,
12.92,,0.093303,0.0028,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-770",,Heat capacity at constant pressure Cp,,,
13.38,,0.105018,0.0032,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-771",,Heat capacity at constant pressure Cp,,,
13.91,,0.115897,0.0035,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-772",,Heat capacity at constant pressure Cp,,,
14.42,,0.132214,0.004,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-773",,Heat capacity at constant pressure Cp,,,
14.92,,0.141838,0.0043,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-774",,Heat capacity at constant pressure Cp,,,
15.43,,0.15941,0.0048,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-775",,Heat capacity at constant pressure Cp,,,
16.01,,0.17782,0.0053,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-776",,Heat capacity at constant pressure Cp,,,
16.69,,0.205016,0.0062,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-777",,Heat capacity at constant pressure Cp,,,
17.31,,0.229283,0.0069,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-778",,Heat capacity at constant pressure Cp,,,
17.94,,0.258571,0.0078,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-779",,Heat capacity at constant pressure Cp,,,
1.25,,0.0016736,0.00005,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-780",,Heat capacity at constant pressure Cp,,,
1.51,,0.002092,0.000063,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-781",,Heat capacity at constant pressure Cp,,,
1.8,,0.0025941,0.000078,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-782",,Heat capacity at constant pressure Cp,,,
2.05,,0.002887,0.000087,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-783",,Heat capacity at constant pressure Cp,,,
2.26,,0.0033472,0.0001,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-784",,Heat capacity at constant pressure Cp,,,
2.46,,0.0038074,0.00011,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-785",,Heat capacity at constant pressure Cp,,,
2.68,,0.0041003,0.00012,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-786",,Heat capacity at constant pressure Cp,,,
2.9,,0.0045187,0.00014,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-787",,Heat capacity at constant pressure Cp,,,
3.13,,0.0048953,0.00015,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-788",,Heat capacity at constant pressure Cp,,,
3.34,,0.0053555,0.00016,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-789",,Heat capacity at constant pressure Cp,,,
3.5,,0.0057739,0.00017,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-790",,Heat capacity at constant pressure Cp,,,
3.69,,0.0061086,0.00018,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-791",,Heat capacity at constant pressure Cp,,,
3.88,,0.0064852,0.00019,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-792",,Heat capacity at constant pressure Cp,,,
4.07,,0.0068618,0.00021,55Smi,"Smith, PL (1955) Philosophical Magazine, pp 744-793",,Heat capacity at constant pressure Cp,,,
298.16,,24.85714,0.37,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
300,,24.88643,0.37,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
310,,25.02869,0.38,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
320,,25.15839,0.38,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
330,,25.27973,0.38,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
340,,25.40525,0.38,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
350,,25.53914,0.38,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
360,,25.66466,0.38,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
370,,25.78599,0.39,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
380,,25.89478,0.39,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
390,,26.00774,0.39,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
400,,26.11234,0.39,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
410,,26.21694,0.39,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
420,,26.31318,0.39,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
430,,26.41778,0.4,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
440,,26.52238,0.4,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
450,,26.62279,0.4,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
460,,26.71902,0.4,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
470,,26.83618,0.4,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
480,,26.94496,0.4,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
490,,27.05793,0.41,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
500,,27.16671,0.41,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
510,,27.26713,0.41,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
520,,27.36754,0.41,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
530,,27.45122,0.41,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
540,,27.54327,0.41,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
543.16,,27.57674,0.41,57Wal,"Wallace, W. E.; Craig, R. S.; Saba, W. G.; Sterrett, K. F. (1957)",,Heat capacity at constant pressure Cp,,,
301.15,1013.783,24.64,30,14Ewa,"Ewald, Rudolf (1914) Annalen der Physik, pp 1213-1237",,Heat capacity at constant pressure Cp per unit mass,,,
301.15,1012.11,24.6,30,14Ewa,"Ewald, Rudolf (1914) Annalen der Physik, pp 1213-1237",,Heat capacity at constant pressure Cp per unit mass,,,
234.35,966.922,23.5,29,14Ewa,"Ewald, Rudolf (1914) Annalen der Physik, pp 1213-1237",,Heat capacity at constant pressure Cp per unit mass,,,
234.6,966.922,23.5,29,14Ewa,"Ewald, Rudolf (1914) Annalen der Physik, pp 1213-1237",,Heat capacity at constant pressure Cp per unit mass,,,
137.65,782.826,19.03,23,14Ewa,"Ewald, Rudolf (1914) Annalen der Physik, pp 1213-1237",,Heat capacity at constant pressure Cp per unit mass,,,
137.5,778.642,18.92,23,14Ewa,"Ewald, Rudolf (1914) Annalen der Physik, pp 1213-1237",,Heat capacity at constant pressure Cp per unit mass,,,
373.15,1042.7365,25.34,52,05Stu1,"Stucker, N. (1905) Sitzungsberichte - Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Klasse, Abteilung IIa: Mathematik, Astronomie, Physik, Meteorologie und Technik, pp 657-668",,Heat capacity at constant pressure Cp per unit mass,,,
423.15,1060.5603,25.78,53,05Stu1,"Stucker, N. (1905) Sitzungsberichte - Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Klasse, Abteilung IIa: Mathematik, Astronomie, Physik, Meteorologie und Technik, pp 657-668",,Heat capacity at constant pressure Cp per unit mass,,,
